cluster,feature,cluster_mean,z,global_mean,delta_%
0,median_ts,1.4553379326826128,-0.07337220766759626,9.989836786709136,-85.43181471574341
0,median_dt,8.895862922077923,-0.6729568533996431,19.261383050000003,-53.81503550920804
0,n_pairs,82.2987012987013,0.4665250395669982,63.73529411764706,29.125788839679018
0,median_len,11.74025974025974,-0.2797897735251759,14.1,-16.73574652298057
0,mean_spc,1.819190673513031,-0.744590876935198,3.381358166823373,-46.19940912020938
0,std_spc,3.0890398050291394,-0.667654234397365,5.896251086236988,-47.61010411785944
0,avg_time_per_char,1.1085965572544572,-0.6670224429849927,2.036787993427497,-45.57133286175179
0,prop_dt_lt_0p1,0.004918245830876994,-0.17525690753888676,0.0172962769548945,-71.56471393408609
0,prop_ts_gt_100,0.006078845839263539,-0.16915126595533528,0.018150067969912545,-66.50786184745714
0,ts_q99,520.1386296038285,-0.14461080058950823,1113.4765737433825,-53.28697146674751
0,breakiness_ratio,3.977228703582087,0.24481394392578565,3.294113018446074,20.737469580149927
1,median_ts,0.6124614375179932,-0.08061852760964848,9.989836786709136,-93.86915471599261
1,median_dt,29.65239469186047,0.6746118295896134,19.261383050000003,53.94738069891853
1,n_pairs,43.95348837209303,-0.4971451424914095,63.73529411764706,-31.03744325559931
1,median_len,15.563953488372093,0.17357809329748197,14.1,10.382648853702788
1,mean_spc,4.919922466949126,0.7333406605614455,3.381358166823373,45.50137028433051
1,std_spc,8.583765119808549,0.6391859909256119,5.896251086236988,45.580047292164146
1,avg_time_per_char,2.9578430082798493,0.6618940255077517,2.036787993427497,45.22095661524424
1,prop_dt_lt_0p1,0.002442749939953048,-0.21030672686166607,0.0172962769548945,-85.87701881553302
1,prop_ts_gt_100,0.002968387093497177,-0.21273741065996737,0.018150067969912545,-83.6453114202223
1,ts_q99,669.979749421201,-0.10809089736733682,1113.4765737433825,-39.82991962113718
1,breakiness_ratio,2.503718432092446,-0.2832603908140309,3.294113018446074,-23.994155085986677
2,median_ts,219.07707847106352,1.7975504806906688,9.989836786709136,2092.9995769553725
2,median_dt,5.621104285714286,-0.885562804704892,19.261383050000003,-70.81671512828211
2,n_pairs,102.57142857142857,0.9760077439431962,63.73529411764706,60.933482760893924
2,median_len,22.071428571428573,0.9451566482650138,14.1,56.53495440729485
2,mean_spc,1.662839191692161,-0.8191141834677271,3.381358166823373,-50.8233345994719
2,std_spc,3.7575456242155654,-0.508659881572217,5.896251086236988,-36.272292864419946
2,avg_time_per_char,0.9310750374306105,-0.7945940119745993,2.036787993427497,-54.28709122230233
2,prop_dt_lt_0p1,0.3359408083597963,4.511594341513937,0.0172962769548945,1842.2723701514954
2,prop_ts_gt_100,0.3374513050315833,4.474294970759717,0.018150067969912545,1759.2288777704746
2,ts_q99,13088.869229522428,2.918692688426159,1113.4765737433825,1075.4956986224802
2,breakiness_ratio,5.490402542865927,0.7871028468173088,3.294113018446074,66.67316853190134
